Index,Bankrupt?,ROA(C) before interest and depreciation before interest,ROA(A) before interest and % after tax,ROA(B) before interest and depreciation after tax,Operating Gross Margin,Realized Sales Gross Margin,Operating Profit Rate,Pre-tax net Interest Rate,After-tax net Interest Rate,Non-industry income and expenditure/revenue,Continuous interest rate (after tax),Operating Expense Rate,Research and development expense rate,Cash flow rate,Interest-bearing debt interest rate,Tax rate (A),Net Value Per Share (B),Net Value Per Share (A),Net Value Per Share (C),Persistent EPS in the Last Four Seasons,Cash Flow Per Share,Revenue Per Share (Yuan ¥),Operating Profit Per Share (Yuan ¥),Per Share Net profit before tax (Yuan ¥),Realized Sales Gross Profit Growth Rate,Operating Profit Growth Rate,After-tax Net Profit Growth Rate,Regular Net Profit Growth Rate,Continuous Net Profit Growth Rate,Total Asset Growth Rate,Net Value Growth Rate,Total Asset Return Growth Rate Ratio,Cash Reinvestment %,Current Ratio,Quick Ratio,Interest Expense Ratio,Total debt/Total net worth,Debt ratio %,Net worth/Assets,Long-term fund suitability ratio (A),Borrowing dependency,Contingent liabilities/Net worth,Operating profit/Paid-in capital,Net profit before tax/Paid-in capital,Inventory and accounts receivable/Net value,Total Asset Turnover,Accounts Receivable Turnover,Average Collection Days,Inventory Turnover Rate (times),Fixed Assets Turnover Frequency,Net Worth Turnover Rate (times),Revenue per person,Operating profit per person,Allocation rate per person,Working Capital to Total Assets,Quick Assets/Total Assets,Current Assets/Total Assets,Cash/Total Assets,Quick Assets/Current Liability,Cash/Current Liability,Current Liability to Assets,Operating Funds to Liability,Inventory/Working Capital,Inventory/Current Liability,Current Liabilities/Liability,Working Capital/Equity,Current Liabilities/Equity,Long-term Liability to Current Assets,Retained Earnings to Total Assets,Total income/Total expense,Total expense/Assets,Current Asset Turnover Rate,Quick Asset Turnover Rate,Working capitcal Turnover Rate,Cash Turnover Rate,Cash Flow to Sales,Fixed Assets to Assets,Current Liability to Liability,Current Liability to Equity,Equity to Long-term Liability,Cash Flow to Total Assets,Cash Flow to Liability,CFO to Assets,Cash Flow to Equity,Current Liability to Current Assets,Liability-Assets Flag,Net Income to Total Assets,Total assets to GNP price,No-credit Interval,Gross Profit to Sales,Net Income to Stockholder's Equity,Liability to Equity,Degree of Financial Leverage (DFL),Interest Coverage Ratio (Interest expense to EBIT),Net Income Flag,Equity to Liability,Cluster
14,0,0.501876859,0.54769952,0.562556882,0.64778247,0.64778247,0.999075622,0.797458907,0.80941556,0.303422771,0.781682115,0.000762507,0.000545351,0.458042492,0.00040204,0.0,0.180481227,0.180481227,0.180481227,0.21716933,0.314210936,0.005278521,0.098037619,0.172026813,0.022128369,0.848152409,0.690614231,0.690614231,0.217730145,0.000240907,0.001577192,0.264477702,0.372210424,0.025580575,0.016559221,0.631268407,0.002318095,0.059678931,0.940321069,0.006528565,0.370638114,0.005365848,0.098001856,0.170439635,0.398930633,0.047976012,0.001213314,0.005214822,516000000.0,0.000158865,0.016129032,0.001827182,0.392630198,0.001828006,0.923511033,0.583712634,0.825506178,0.51102537,0.01743823,0.044096691,0.061151661,0.331215752,0.277186018,0.021363814,0.939162118,0.740896101,0.328203922,0.000405628,0.902462229,0.002262493,0.029471394,0.001090129,0.000777268,0.594490877,0.001759956,0.672187705,0.126543383,0.939162118,0.328203922,0.111328463,0.874109759,0.553951315,0.545538407,0.341665262,0.011435478,0,0.801562099,0.00078652,0.62434957,0.647778623,0.840367205,0.276460216,0.027137554,0.566402337,1,0.064648238,0
17,0,0.484960757,0.539576973,0.538786873,0.618227418,0.618025627,0.99897706,0.797438571,0.809358013,0.30359341,0.781666536,0.000383682,0.000392374,0.469099083,0.0,0.071161049,0.168682314,0.168682314,0.168682314,0.217736598,0.320011318,0.007229608,0.095757674,0.171424268,0.022091754,0.848214229,0.693447325,0.693447325,0.217977921,7050000000.0,0.000445685,0.26418553,0.382353489,0.021049544,0.016748868,0.630612252,0.001413473,0.039453397,0.960546603,0.005888106,0.369637181,0.005365848,0.095730128,0.170469799,0.396744205,0.061469265,0.00069796,0.009067659,0.000104135,0.000147517,0.016451613,0.012308506,0.392607585,0.010756125,0.835066539,0.38072166,0.429431625,0.213727256,0.018021501,0.029020235,0.038688334,0.360856455,0.277079776,0.008166463,0.870456569,0.735960786,0.327358144,0.0,0.931023949,0.002258924,0.029535064,0.000291052,0.000263326,0.594063405,0.000388952,0.671641481,0.209482079,0.870456569,0.327358144,0.110933234,0.692111761,0.488690157,0.592409897,0.319880726,0.013926493,0,0.800956986,0.000742147,0.624057952,0.618227137,0.840309131,0.275804169,0.026791157,0.565158396,1,0.096441088,0
43,0,0.475698338,0.537887048,0.525670539,0.605846149,0.605947044,0.998990233,0.797400112,0.809324812,0.303498664,0.781574045,0.000176693,0.000112058,0.461838739,0.000331033,0.054054054,0.198685264,0.198685264,0.198685264,0.215562069,0.318066068,0.02575737,0.098770458,0.171800859,0.022117196,0.848541243,0.690049303,0.690049303,0.217641358,6660000000.0,0.000447906,0.264128805,0.376932678,0.017918821,0.012525468,0.631544431,0.002739401,0.068023098,0.931976902,0.005698563,0.371146968,0.005365848,0.098742814,0.170824221,0.399545566,0.113943028,0.001012448,0.006250614,6970000000.0,0.00025494,0.024677419,0.013968245,0.393308609,0.006915995,0.873308947,0.544181731,0.675093268,0.214871201,0.013949013,0.015931616,0.071247161,0.341970044,0.277146598,0.010598848,0.967291993,0.738521782,0.328624921,0.0,0.933812036,0.002250597,0.027291034,0.000240408,0.000197517,0.594029959,0.000208825,0.671570077,0.222258472,0.967291993,0.328624921,0.110933234,0.639973776,0.458203923,0.567553274,0.314207174,0.016371035,0,0.799245439,0.001032221,0.624188321,0.605842956,0.840239281,0.276765605,0.027133327,0.566390871,1,0.056675298,0
51,0,0.43889241,0.502071522,0.484126559,0.620980412,0.620980412,0.998626606,0.797126198,0.809067933,0.303780969,0.781168851,0.000781818,0.000122245,0.412682117,0.0,0.0,0.162951414,0.162951414,0.162951414,0.20686395,0.311522954,0.004280291,0.088510708,0.166001356,0.023651374,0.847930212,0.68934253,0.68934253,0.21756494,5890000000.0,0.000431212,0.263983495,0.35966432,0.0892615,0.084263999,0.630612252,0.000497907,0.015206941,0.984793059,0.009171076,0.369637181,0.005365848,0.08852411,0.165025262,0.396374442,0.043478261,0.000657381,0.009623554,0.000127637,0.000292008,0.013870968,0.003595611,0.387926551,0.00121408,0.975642236,0.871059173,0.876701727,0.029432687,0.085111886,0.008279025,0.018428298,0.202918642,0.277000579,0.011037229,0.941025662,0.741763875,0.326689744,0.0,0.919536211,0.002154168,0.039197423,0.000816607,0.000819437,0.594446204,7190000000.0,0.671518294,0.060296646,0.941025662,0.326689744,0.110933234,0.614313146,0.420998328,0.47957605,0.311739396,0.003088868,0,0.778555791,8780000000.0,0.624416136,0.620978411,0.839186553,0.275140279,0.026791157,0.565158396,1,0.221132904,0
52,0,0.438989909,0.475741387,0.481449756,0.597197999,0.597197999,0.998544452,0.796853114,0.808810923,0.303475461,0.781029622,0.000482551,0.00010255,0.454422385,0.000315032,0.0,0.182546037,0.182546037,0.182546037,0.202420346,0.31587324,0.005021401,0.085416497,0.160352489,0.023033158,0.848043675,0.689530714,0.689530714,0.2176085,9930000000.0,0.000559502,0.264700717,0.373393316,0.042130914,0.033808409,0.630588622,0.000635607,0.019137165,0.980862835,0.005406934,0.369740071,0.005365848,0.088906802,0.162800694,0.395930994,0.04047976,0.00073651,0.008586055,7910000000.0,4610000000.0,0.013548387,0.00332829,0.387315981,0.009375771,0.873803068,0.476043644,0.520951439,0.365452491,0.037049924,0.081518741,0.023363221,0.319958444,0.27704705,0.013457135,0.989698298,0.737384089,0.326836918,0.0,0.91727075,0.002000784,0.020506215,0.000637021,0.000589113,0.594296723,0.001171003,0.671791257,0.383276794,0.989698298,0.326836918,0.110933234,0.731335572,0.557816378,0.549214115,0.323422288,0.00685696,0,0.768426727,0.000771164,0.624901857,0.59719915,0.838670397,0.275239842,0.026783862,0.565123372,1,0.183540078,0
61,0,0.532101594,0.604775403,0.592911826,0.622025397,0.621852434,0.999171411,0.797624362,0.809542632,0.303511474,0.781812501,0.0002507,0.000165201,0.469285289,0.000266027,0.0,0.198390291,0.198390291,0.198390291,0.242507327,0.327049586,0.025394377,0.120104226,0.192287414,0.022114494,0.848056568,0.689458955,0.689458753,0.217600423,7100000000.0,0.000478201,0.26417232,0.383210387,0.016276392,0.014158059,0.630661224,0.003140645,0.075490522,0.924509478,0.005801009,0.370710808,0.005365848,0.119277932,0.190558781,0.397675313,0.110944528,0.001150416,0.005500028,0.00011216,0.000319242,0.025483871,0.011136407,0.399753511,0.005043856,0.861120989,0.584131965,0.640844714,0.309898794,0.014335043,0.02201151,0.074394643,0.362377744,0.277075586,0.005364208,0.914646898,0.738065571,0.328819194,0.0,0.94509359,0.002440002,0.033619286,0.000238229,0.000222279,0.594023068,0.000314396,0.671521527,0.194754364,0.914646898,0.328819194,0.110933234,0.578185322,0.438009272,0.61912622,0.306437111,0.018022909,0,0.837294536,0.00413731,0.624082552,0.622024136,0.842619606,0.277057148,0.026806847,0.565232114,1,0.05097619,0
62,0,0.426900015,0.488170519,0.476899192,0.585659926,0.585659926,0.998795998,0.797167977,0.809120012,0.303499631,0.781366185,4570000000.0,0.0,0.577999212,0.00020202,0.0,0.181745396,0.181745396,0.181745396,0.202514891,0.323583504,0.01350636,0.084846511,0.159825262,0.021833089,0.847767058,0.688784786,0.688784786,0.217515297,544000000.0,0.000415091,0.262936025,0.38140345,0.18373172,0.087033227,0.630610197,0.001229265,0.034918523,0.965081477,0.006133656,0.369637181,0.005365848,0.08481932,0.15862303,0.397586891,0.08095952,0.005664837,0.001116059,4130000000.0,0.000249644,0.018870968,0.027986428,0.376585785,0.014081701,0.87813156,0.241684671,0.475471773,0.211750282,0.090820993,0.224155588,0.004545888,0.384340052,0.277237033,0.240075035,0.110434057,0.737916484,0.326312616,0.0,0.923963238,0.0016692,0.008114717,0.000216543,0.000110218,0.594068294,0.000263761,0.671595804,0.176245595,0.110434057,0.326312616,0.110933234,0.667344029,0.475560262,0.618572581,0.317158898,0.001347342,0,0.769285055,0.002426576,0.626872908,0.585659872,0.838633405,0.275670735,0.026790591,0.565155699,1,0.108066897,0
73,0,0.475357091,0.544537724,0.527811981,0.616216723,0.616216723,0.999071809,0.797465962,0.809390301,0.303443074,0.781633273,0.000259835,0.000164692,0.486773525,0.000139014,0.0,0.17462391,0.17462391,0.17462391,0.21698024,0.323123718,0.008303462,0.099503298,0.172478723,0.022062786,0.848001419,0.689266327,0.689266327,0.21757587,7180000000.0,0.000448305,0.263797779,0.38537126,0.052746793,0.038416094,0.630675265,0.002246966,0.058197539,0.941802461,0.005412607,0.371453399,0.005365848,0.099361636,0.171442576,0.395383047,0.058470765,0.002160835,0.002925492,4570000000.0,0.000118014,0.016451613,0.010072999,0.395660433,0.01703085,0.896473628,0.550534285,0.597148867,0.335985606,0.046757667,0.081878733,0.021344517,0.366615691,0.277040384,0.015797123,0.329917397,0.739445612,0.326880444,0.006867856,0.934080573,0.002287419,0.022740907,0.000436943,0.000408948,0.594188599,0.000652178,0.671492816,0.379991534,0.329917397,0.326880444,0.115759614,0.589954632,0.437067352,0.615645264,0.308394809,0.005424032,0,0.803598119,0.000475688,0.624633389,0.616212818,0.840483036,0.276408469,0.026811553,0.565253809,1,0.066278573,0
77,0,0.481840784,0.545300916,0.539322234,0.617377016,0.616252757,0.998969781,0.797435527,0.809375199,0.30360332,0.781627799,0.00036252,0.000147883,0.477069022,0.00029803,0.0,0.166111837,0.166111837,0.166111837,0.21698024,0.321178468,0.00916557,0.095594821,0.17172554,0.02209188,0.848001948,0.689776433,0.689776433,0.217635472,5840000000.0,0.000454893,0.264901974,0.383657464,0.037521256,0.023893089,0.630737935,0.001848457,0.049611513,0.950388487,0.005926482,0.369652839,0.005604709,0.095559138,0.17073373,0.397853496,0.074962519,0.000787234,0.008035284,4360000000.0,0.000204254,0.019193548,0.005713614,0.392110083,0.003592931,0.881462229,0.452029213,0.565772319,0.090295504,0.028892771,0.01654877,0.028539162,0.365375263,0.277113875,0.022614039,0.517378006,0.73843712,0.327084302,654000000.0,0.923215548,0.00227392,0.03363648,0.000295088,0.000239814,0.594092496,0.000126863,0.671586556,0.195166625,0.517378006,0.327084302,0.110975286,0.656058439,0.465654043,0.606521981,0.316042805,0.007729624,0,0.804606713,0.000422654,0.624129688,0.617377497,0.84052406,0.276119836,0.026843292,0.565395301,1,0.07752389,0
107,0,0.440891142,0.506378107,0.489694309,0.599569034,0.599569034,0.998970359,0.797326792,0.809254766,0.303412136,0.781507799,9420000000.0,2190000000.0,0.46540181,0.00030403,0.0,0.180818339,0.180818339,0.180818339,0.207336674,0.318950272,0.028116823,0.096490514,0.16457031,0.02202802,0.847934235,0.688852564,0.688852564,0.217530163,5740000000.0,0.000436851,0.263288031,0.378236653,0.026677608,0.020944195,0.630496158,0.001474571,0.040934789,0.959065211,0.075130587,0.370445756,0.005663206,0.096446659,0.163607571,0.397908425,0.172413793,0.000750713,0.00842552,0.006730356,0.020763594,0.031290323,0.074996695,0.394371452,0.000359188,0.849794586,0.482606985,0.464771905,0.100020744,0.026674583,0.015875087,0.033028432,0.349356429,0.276978206,0.000357377,0.717547427,0.73669304,0.327191154,0.0,0.929842323,0.002144744,0.030700169,9450000000.0,0.000104445,0.593972389,6030000000.0,0.671570178,0.003467762,0.717547427,0.327191154,0.110933234,0.638380084,0.45664258,0.576951872,0.314071817,0.010958225,0,0.78063034,0.000476425,0.624272669,0.599567703,0.839213097,0.275848705,0.02675491,0.564979423,1,0.093152265,0
