ROA(C) before interest and depreciation before interest,ROA(A) before interest and % after tax,ROA(B) before interest and depreciation after tax,Operating Expense Rate,Research and development expense rate,Interest-bearing debt interest rate,Tax rate (A),Net Value Per Share (B),Net Value Per Share (A),Net Value Per Share (C),Persistent EPS in the Last Four Seasons,Per Share Net profit before tax (Yuan ¥),Total Asset Growth Rate,Debt ratio %,Net worth/Assets,Net profit before tax/Paid-in capital,Total Asset Turnover,Inventory Turnover Rate (times),Fixed Assets Turnover Frequency,Net Worth Turnover Rate (times),Allocation rate per person,Working Capital to Total Assets,Quick Assets/Total Assets,Current Assets/Total Assets,Cash/Total Assets,Cash/Current Liability,Current Liability to Assets,Operating Funds to Liability,Inventory/Current Liability,Current Liabilities/Liability,Long-term Liability to Current Assets,Current Asset Turnover Rate,Quick Asset Turnover Rate,Cash Turnover Rate,Current Liability to Liability,Cash Flow to Total Assets,CFO to Assets,Current Liability to Current Assets,Liability-Assets Flag,Net Income to Total Assets,Total assets to GNP price,Equity to Liability,Bankrupt?
0.450397309,0.504034017,0.506986455,0.8018018018018018,0.0,4.182232323232323e-13,0.0,0.178753529,0.178753529,0.178753529,0.20487851,0.16072908,0.6726726726726694,0.115609033,0.884390967,0.159716462,0.140929535,1.3847547547547547e-14,1.628098098098098e-14,0.032741935,1.3237905956112853e-12,0.778115712,0.153374891,0.259177395,0.069737919,7.575035233160622e-13,0.050257335,0.342192633,1.1037517658930373e-12,0.403584389,1.7390170859538786e-12,0.65,0.38799999999999385,0.545,0.403584389,0.666103393,0.570384529,0.029918535,0,0.780554329,4.90606517311614e-13,0.032463577,0
0.530005362,0.572884867,0.574763103,1.0255655655655656e-14,0.027254509018036072,1.4142828282828282e-13,0.259439214,0.200412962,0.200412962,0.200412962,0.235605559,0.193115915,0.6776776776776744,0.115669498,0.884330502,0.191395822,0.16191904,1.0997697697697697e-14,2.8624224224224226e-14,0.04,9.387210031347963e-13,0.829014393,0.482054643,0.610928858,0.064894254,3.5171637305699486e-13,0.101202869,0.348803891,7.316346115035317e-13,0.824851349,2.2068029350104824e-13,1.481e-14,1.9926000000000206e-15,0.445,0.824851349,0.654555993,0.595347531,0.025789656,0,0.819963004,5.973598778004134e-13,0.032441724,0
0.571150002,0.620148277,0.624176883,1.0602902902902902e-14,0.4248496993987976,2.6265252525252525e-13,0.104464015,0.203278412,0.203278412,0.203278412,0.253852699,0.205317466,0.9679679679679676,0.113795084,0.886204916,0.204072091,0.136431784,1.1456756756756757e-14,2.4913713713713714e-14,0.031774194,1.0881583072100315e-12,0.841219246,0.455586569,0.533343096,0.144189864,1.2382079792746114e-12,0.063697181,0.358676502,7.531767911200807e-13,0.523065789,1.1237284067085955e-12,1.7919e-14,5.723600000000055e-15,1.34516e-14,0.523065789,0.691773428,0.63154283,0.018529378,0,0.839128318,6.029051934826945e-13,0.033033744,0
0.48340077,0.556694287,0.536163606,0.7537537537537538,0.0,2.7073434343434344e-13,0.0,0.179217058,0.179217058,0.179217058,0.227474709,0.182044136,8.481481481481566e-16,0.218943677,0.781056323,0.181087399,0.106446777,0.016216216216216217,7.830020020020021e-14,0.047258065,1.0804690700104494e-12,0.818119495,0.068259661,0.866373537,0.049627671,1.4220051813471504e-13,0.191852433,0.317865075,2.0778082744702322e-12,0.83914723,4.50261320754717e-13,4.03094e-14,0.26599999999999263,0.616,0.83914723,0.65409553,0.404612049,0.034617321,0,0.806477353,2.11344602851326e-13,0.015405672,0
0.510359284,0.537287396,0.552545639,0.6276276276276276,0.23647294589178355,4.131727272727273e-13,0.732057901,0.194766339,0.194766339,0.194766339,0.234376477,0.177976953,0.5595595595595552,0.128609003,0.871390997,0.176834326,0.287856072,1.2636836836836837e-13,2.1604484484484483e-13,0.06483871,5.322694879832811e-13,0.809457441,0.612446645,0.614336367,0.275644299,1.218638860103627e-12,0.124174052,0.342800793,1.1045560040363269e-13,0.914600608,0.0,0.7010000000000001,0.7559999999999975,0.0981,0.914600608,0.617999599,0.573563511,0.031509132,0,0.799276895,1.04125050916498e-13,0.028857869,0
0.546043972,0.617804187,0.600567482,0.4314314314314314,0.011923847695390781,4.778252525252525e-13,0.051624658,0.251401121,0.251401121,0.251401121,0.286470644,0.237930255,1.6440440440440614e-15,0.150799649,0.849200351,0.228504638,0.166416792,2.2136164164164166e-12,3.105502502502502e-13,0.046290323,7.135092998955068e-13,0.801489165,0.569354256,0.546472932,0.039790091,1.9448860103626943e-13,0.112269325,0.338860539,0.450050454086781,0.705312023,8.796349056603773e-13,1.58532e-14,7.174800000000069e-15,0.324,0.705312023,0.644901157,0.555845046,0.031998765,0,0.834985182,3.507141547861543e-13,0.024103248,0
0.465070931,0.53368949,0.516944162,0.24624624624624625,0.002555110220440882,7.505797979797981e-13,0.51533556,0.179469892,0.179469892,0.179469892,0.214900255,0.170520449,0.5675675675675632,0.183420504,0.816579496,0.169542267,0.037481259,0.1091091091091091,1.5296596596596594e-14,0.02,4.85165078369906e-12,0.804444652,0.259962932,0.70201655,0.039685347,1.3912922279792746e-13,0.156716409,0.341929029,1.4376734611503533e-12,0.815194833,1.745269392033543e-13,7.47781e-14,1.7873200000000175e-14,1.1077200000000001e-14,0.815194833,0.6237671,0.572140223,0.034853514,0,0.796315229,5.489921079429791e-12,0.019155337,0
0.476332082,0.534507196,0.526580652,1.7814314314314315e-14,0.02635270541082164,2.9396868686868687e-13,0.0,0.174918882,0.174918882,0.174918882,0.214805711,0.169993221,0.638638638638635,0.115095081,0.884904919,0.168999321,0.070464768,0.8278278278278278,0.9469469469469469,0.021290323,8.132601880877742e-13,0.755785896,0.231111521,0.301147287,0.019118704,1.188438341968912e-13,0.088177883,0.352662756,4.4872674066599394e-13,0.72076248,6.981524109014675e-13,1.66572e-14,3.128100000000033e-15,0.29200000000000004,0.72076248,0.635830435,0.609689445,0.045315456,0,0.796530771,4.585244399185382e-14,0.032626481,0
0.514113002,0.566779328,0.565340757,1.3114714714714714e-14,0.046993987975951904,1.8082626262626264e-13,0.154367851,0.210147065,0.210147065,0.210147065,0.2312565,0.185659411,0.6886886886886855,0.086343985,0.913656015,0.184669331,0.064467766,0.6976976976976977,0.08708708708708708,0.019032258,1.7745921630094044e-12,0.780637746,0.250131082,0.324360466,0.037732651,3.0614569948186526e-13,0.067444711,0.366600236,6.223674066599394e-13,0.727300651,6.574792452830188e-13,2.03593e-14,6.07110000000006e-15,0.646,0.727300651,0.642379287,0.638581131,0.032198762,0,0.815698137,3.0210325865580756e-13,0.044359183,0
0.522741676,0.579535543,0.575566144,3.033863863863864e-14,3.32935871743487e-14,0.0,0.0,0.229109603,0.229109603,0.229109603,0.236172828,0.189350004,0.8138138138138119,0.043837107,0.956162893,0.18673554,0.127436282,0.7897897897897898,2.9464794794794796e-13,0.025483871,9.998202716823406e-14,0.945411246,0.804115155,0.864584141,0.371260615,4.168965803108808e-12,0.048598866,0.407815245,9.57863773965691e-13,0.994140787,0.0,2.97053e-14,1.8176500000000177e-14,3.44965e-14,0.994140787,0.654738832,0.666422887,0.0086253,0,0.822099152,2.197168024439941e-13,0.087299894,0
