ROA(C) before interest and depreciation before interest,ROA(A) before interest and % after tax,ROA(B) before interest and depreciation after tax,Operating Expense Rate,Research and development expense rate,Interest-bearing debt interest rate,Tax rate (A),Net Value Per Share (B),Net Value Per Share (A),Net Value Per Share (C),Persistent EPS in the Last Four Seasons,Per Share Net profit before tax (Yuan ¥),Total Asset Growth Rate,Debt ratio %,Net worth/Assets,Net profit before tax/Paid-in capital,Total Asset Turnover,Inventory Turnover Rate (times),Fixed Assets Turnover Frequency,Net Worth Turnover Rate (times),Allocation rate per person,Working Capital to Total Assets,Quick Assets/Total Assets,Current Assets/Total Assets,Cash/Total Assets,Cash/Current Liability,Current Liability to Assets,Operating Funds to Liability,Inventory/Current Liability,Current Liabilities/Liability,Long-term Liability to Current Assets,Current Asset Turnover Rate,Quick Asset Turnover Rate,Cash Turnover Rate,Current Liability to Liability,Cash Flow to Total Assets,CFO to Assets,Current Liability to Current Assets,Liability-Assets Flag,Net Income to Total Assets,Total assets to GNP price,Equity to Liability,Cluster_ID,Bankrupt?
0.546043972,0.617804187,0.600567482,0.4314314314314314,0.011923847695390781,4.778252525252525e-13,0.051624658,0.251401121,0.251401121,0.251401121,0.286470644,0.237930255,1.6440440440440614e-15,0.150799649,0.849200351,0.228504638,0.166416792,2.2136164164164166e-12,3.105502502502502e-13,0.046290323,7.135092998955068e-13,0.801489165,0.569354256,0.546472932,0.039790091,1.9448860103626943e-13,0.112269325,0.338860539,0.450050454086781,0.705312023,8.796349056603773e-13,1.58532e-14,7.174800000000069e-15,0.324,0.705312023,0.644901157,0.555845046,0.031998765,0,0.834985182,3.507141547861543e-13,0.024103248,0,0
0.501876859,0.54769952,0.562556882,7.632702702702703e-14,5.464438877755511e-14,4.061010101010101e-13,0.0,0.180481227,0.180481227,0.180481227,0.21716933,0.172026813,1.4104604604604747e-14,0.059678931,0.940321069,0.170439635,0.047976012,0.05165165165165165,1.5902402402402403e-14,0.016129032,1.9101421107628006e-13,0.923511033,0.583712634,0.825506178,0.51102537,4.569605284974094e-12,0.061151661,0.331215752,2.1557834510595355e-12,0.939162118,4.251865828092243e-14,1.090129e-13,6.772460000000067e-14,1.7599560000000002e-13,0.939162118,0.874109759,0.545538407,0.011435478,0,0.801562099,6.975193482688463e-14,0.064648238,0,0
0.534490323,0.596216747,0.588521869,0.03113113113113113,0.005270541082164328,3.1518282828282826e-13,0.0,0.368968859,0.368968859,0.368968859,0.335539378,0.265797997,3.727927927927965e-15,0.184055386,0.815944614,0.264693462,0.136431784,1.4497797797797797e-14,2.021871871871872e-14,0.042096774,4.333572936259144e-12,0.807811536,0.314554525,0.409579058,0.034877013,3.020882901554404e-13,0.063147523,0.337089074,8.486719475277497e-13,0.318988566,3.2586426624737942e-12,1.52812e-14,2.0418000000000215e-15,0.365,0.318988566,0.656180293,0.543490195,0.023914811,0,0.822636855,2.1124920570264982e-12,0.019072682,0,0
0.552235168,0.600741387,0.59055624,2.0464964964964965e-14,0.4729458917835671,0.0,0.251543679,0.201972104,0.201972104,0.201972104,0.242601872,0.198689463,0.07187187187186259,0.06270218,0.93729782,0.197737727,0.088455772,4.1906006006006e-14,2.8018418418418417e-14,0.020806452,5.750911180773249e-13,0.813210301,0.364662734,0.366727107,0.180805778,2.2434029015544044e-12,0.043937182,0.372490625,1.9512805247225025e-13,0.641153469,0.0,1.6888999999999998e-14,7.397100000000073e-15,2.3094000000000002e-14,0.641153469,0.651251245,0.631720959,0.018540782,0,0.835265759,6.029276985743441e-14,0.061531055,0,0
0.531857846,0.588693851,0.584667273,1.3033733733733733e-14,0.814629258517034,2.444686868686869e-13,0.102237069,0.205722473,0.205722473,0.205722473,0.244398223,0.196580553,0.0069369369369269955,0.115760196,0.884239804,0.195565945,0.106446777,0.07457457457457457,1.931001001001001e-14,0.027903226,1.6072131661442007e-12,0.8267134,0.465773246,0.576737307,0.185517389,1.090396373056995e-12,0.093283784,0.35729634,6.944889001009082e-13,0.758790257,5.010735849056603e-13,2.21808e-14,8.286600000000084e-15,1.9534000000000002e-14,0.758790257,0.666105287,0.627452907,0.025166693,0,0.828043421,3.511501018329975e-13,0.032416087,0,0
0.51884171,0.59218273,0.57412067,1.0718618618618618e-14,0.0,2.3032626262626263e-13,0.040489928,0.189498968,0.189498968,0.189498968,0.258012669,0.205844694,2.377877877877903e-15,0.209269281,0.790730719,0.204924214,0.074962519,0.12812812812812813,1.1177087087087085e-13,0.034354839,7.492351097178683e-13,0.8190487,0.438051646,0.953956166,0.066539845,1.6806963730569947e-13,0.21770339,0.316487264,1.2217791120080727e-12,0.998191208,0.0,6.65157e-14,2.0649600000000204e-14,1.22197e-14,0.998191208,0.648088269,0.402299072,0.035700666,0,0.824202282,6.875029531568298e-13,0.016304718,0,0
0.547847706,0.594199738,0.591466353,1.0081981981981981e-14,0.2094188376753507,1.3637777777777779e-13,0.17177852,0.214403101,0.214403101,0.214403101,0.247707289,0.200271146,1.1792792792792918e-15,0.118329957,0.881670043,0.198997059,0.133433283,1.1934934934934935e-14,3.8998598598598596e-14,0.029516129,6.626463949843261e-13,0.8181059,0.522367771,0.598656817,0.121609011,6.084690155440415e-13,0.109663964,0.347467399,4.448945509586277e-13,0.875216573,2.00958071278826e-13,2.19114e-14,9.573800000000096e-15,1.22011e-14,0.875216573,0.676171791,0.590869748,0.02853362,0,0.82603149,2.931312627291272e-13,0.031647571,0,0
0.520109199,0.569068905,0.567053911,0.6616616616616616,0.04759519038076152,5.202545454545454e-13,0.260856362,0.181745396,0.181745396,0.181745396,0.225867448,0.184680274,1.7270270270270449e-15,0.139341536,0.860658464,0.181192972,0.260869565,1.3828428428428427e-14,4.846436436436436e-14,0.059193548,1.1635545454545454e-12,0.844577516,0.515221167,0.680458065,0.0550967,2.8757989637305703e-13,0.105104656,0.333433686,8.830043390514631e-13,0.713316245,6.385279874213837e-13,1.22288e-14,0.09509999999999093,0.28600000000000003,0.713316245,0.660710212,0.531959727,0.024050768,0,0.811072694,3.020948065173147e-13,0.026375451,0,0
0.626432019,0.659180113,0.661170298,0.2082082082082082,0.12925851703406813,3.566010101010101e-13,0.172790768,0.24158274,0.24158274,0.24158274,0.284579749,0.250809671,3.22772772772776e-15,0.098406748,0.901593252,0.236422593,0.569715142,2.6126726726726725e-14,1.0079069069069068e-13,0.116774194,1.1902938349007315e-12,0.867221327,0.452296862,0.718060036,0.220848705,1.326622797927461e-12,0.091265019,0.344658003,1.5485319878910191e-12,0.870236368,1.9435272536687632e-13,0.539,0.34199999999999336,0.0546,0.870236368,0.723135926,0.577511602,0.019760989,0,0.852800545,1.97687983706723e-13,0.038636292,0,0
0.548822698,0.608427824,0.608383746,2.4655255255255256e-14,0.6613226452905812,2.0608080808080808e-13,0.015487398,0.191268805,0.191268805,0.191268805,0.240710977,0.191232959,4.317517517517562e-15,0.102125344,0.897874656,0.188424704,0.166416792,1.507167167167167e-14,2.938148148148148e-14,0.035,1.0884156739811912e-12,0.831075459,0.420248518,0.464813425,0.177452455,1.7942104663212436e-12,0.054026803,0.364861834,5.694028254288597e-13,0.491894293,1.1944487421383647e-12,1.4201900000000002e-14,3.3105000000000336e-15,1.5332599999999998e-14,0.491894293,0.668582597,0.645650045,0.018014502,0,0.829679815,1.292085539714881e-13,0.03712941,0,0
